requested_density,effective_density,density_index,run_index,priority_scenario,treatment_mode,controller_fraction,priority_speed_delta,worst_priority_speed_delta,priority_time_loss_delta,background_flow_ratio,background_flow_loss,priority_lap_time_delta
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.350,0.35,0.08650000000000002,0.07950000000000002,-0.014416666666666633,1.0023880293114547,-0.0023880293114546536,-126.5
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.500,0.5,0.11975000000000002,0.11550000000000005,-0.0199583333333333,1.0020499649209786,-0.002049964920978642,-129.0
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.650,0.65,0.11675000000000002,0.11250000000000004,-0.019458333333333355,1.0024165241005054,-0.0024165241005054128,-148.5
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.800,0.8,0.21025000000000005,0.2044999999999999,-0.03504166666666664,1.0030843534283382,-0.003084353428338238,-233.5
0.5499999999999999,0.54975,10,2,two-g,baseline2_matched_0.950,0.95,0.34650000000000003,0.3365,-0.05774999999999997,1.0066177072705416,-0.006617707270541562,-368.5
0.5499999999999999,0.54975,10,3,one,baseline2_all_hdv_yield,1.0,0.4085000000000001,0.4085000000000001,-0.06808333333333338,1.0020257311545628,-0.0020257311545628376,-380.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.050,0.05,0.0014999999999999458,0.0014999999999999458,-0.00024999999999997247,1.0003511709754722,-0.00035117097547221476,15.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.200,0.2,0.03849999999999998,0.03849999999999998,-0.006416666666666626,1.0001390858272952,-0.00013908582729516006,-31.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.350,0.35,0.05049999999999999,0.05049999999999999,-0.008416666666666628,1.0011972994675513,-0.001197299467551316,-89.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.500,0.5,0.09599999999999997,0.09599999999999997,-0.016000000000000014,1.0005043589442995,-0.0005043589442994545,-133.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.650,0.65,0.14049999999999996,0.14049999999999996,-0.02341666666666664,1.0014527970906477,-0.0014527970906477172,-148.0
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.800,0.8,0.22249999999999992,0.22249999999999992,-0.03708333333333336,1.0035177930314427,-0.0035177930314427286,-244.5
0.5499999999999999,0.54975,10,3,one,baseline2_matched_0.950,0.95,0.3265,0.3265,-0.05441666666666667,1.0040630758374496,-0.004063075837449581,-345.0
0.5499999999999999,0.54975,10,3,two-2g,baseline2_all_hdv_yield,1.0,0.3597499999999999,0.35650000000000004,-0.059958333333333336,1.0036840402498621,-0.0036840402498621305,-370.5
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.050,0.05,0.03649999999999998,0.03749999999999998,-0.0060833333333333295,0.9998440442317073,0.00015595576829274815,-44.5
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.200,0.2,0.06274999999999997,0.04749999999999999,-0.010458333333333347,1.0016848200287,-0.0016848200287000736,-80.5
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.350,0.35,0.06625000000000003,0.04849999999999999,-0.011041666666666727,1.0009857842445953,-0.000985784244595278,-87.0
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.500,0.5,0.14100000000000001,0.139,-0.023499999999999965,1.0010325156716153,-0.0010325156716153305,-219.5
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.650,0.65,0.15874999999999995,0.15200000000000002,-0.02645833333333336,1.0031464905804364,-0.0031464905804363674,-171.0
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.800,0.8,0.18800000000000006,0.1884999999999999,-0.031333333333333324,1.0016599334699317,-0.0016599334699316515,-228.0
0.5499999999999999,0.54975,10,3,two-2g,baseline2_matched_0.950,0.95,0.31799999999999995,0.31800000000000006,-0.05300000000000005,1.0048791481054418,-0.004879148105441766,-337.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_all_hdv_yield,1.0,0.3597499999999999,0.35650000000000004,-0.059958333333333336,1.0036840402498621,-0.0036840402498621305,-370.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.050,0.05,0.01649999999999996,0.0010000000000000009,-0.002749999999999919,1.0004172646353704,-0.0004172646353703957,-14.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.200,0.2,0.03849999999999998,0.02300000000000002,-0.006416666666666626,1.0007388542781384,-0.0007388542781383567,-33.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.350,0.35,0.07074999999999998,0.06999999999999995,-0.011791666666666645,1.0014088557436776,-0.0014088557436775506,-130.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.500,0.5,0.11175000000000002,0.10350000000000004,-0.018625000000000003,1.0026277440887503,-0.002627744088750328,-151.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.650,0.65,0.15600000000000003,0.15500000000000003,-0.025999999999999912,1.0033652157802897,-0.0033652157802896987,-169.0
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.800,0.8,0.23775000000000002,0.23649999999999993,-0.03962500000000002,1.0034921372300158,-0.003492137230015846,-275.5
0.5499999999999999,0.54975,10,3,two-g,baseline2_matched_0.950,0.95,0.3192499999999999,0.31400000000000006,-0.05320833333333341,1.0040954980215158,-0.004095498021515764,-342.25
0.5499999999999999,0.54975,10,4,one,baseline2_all_hdv_yield,1.0,0.4039999999999999,0.4039999999999999,-0.06733333333333336,1.0023096882611375,-0.0023096882611375325,-428.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.050,0.05,0.03749999999999998,0.03749999999999998,-0.006249999999999978,1.0001795380733964,-0.00017953807339643468,-89.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.200,0.2,0.05449999999999999,0.05449999999999999,-0.009083333333333332,0.999616064735352,0.0003839352646479721,-98.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.350,0.35,0.09699999999999998,0.09699999999999998,-0.016166666666666663,1.0001066179943563,-0.00010661799435629504,-172.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.500,0.5,0.13449999999999995,0.13449999999999995,-0.02241666666666664,1.000650756462959,-0.000650756462958979,-213.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.650,0.65,0.1944999999999999,0.1944999999999999,-0.03241666666666665,1.0029121075504868,-0.0029121075504867644,-266.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.800,0.8,0.21799999999999997,0.21799999999999997,-0.03633333333333333,1.0015523138038271,-0.0015523138038271433,-285.0
0.5499999999999999,0.54975,10,4,one,baseline2_matched_0.950,0.95,0.34650000000000003,0.34650000000000003,-0.05774999999999997,1.0025654609626244,-0.002565460962624444,-388.5
0.5499999999999999,0.54975,10,4,two-2g,baseline2_all_hdv_yield,1.0,0.3727499999999999,0.37650000000000006,-0.062124999999999986,1.0041182490654683,-0.004118249065468316,-370.25
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.050,0.05,0.00924999999999998,0.016000000000000014,-0.0015416666666667744,0.9994940997657401,0.0005059002342598928,-20.0
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.200,0.2,0.04299999999999993,0.04149999999999998,-0.0071666666666667656,1.0015713316565846,-0.0015713316565846291,-58.5
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.350,0.35,0.06424999999999992,0.0695,-0.01070833333333332,1.0020432287603456,-0.0020432287603455723,-68.0
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.500,0.5,0.12324999999999997,0.13149999999999995,-0.02054166666666668,1.0012564571391926,-0.001256457139192646,-140.0
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.650,0.65,0.14825,0.15249999999999997,-0.024708333333333332,1.0027904682866926,-0.0027904682866926045,-178.0
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.800,0.8,0.19274999999999998,0.19599999999999995,-0.03212500000000007,1.001931543681306,-0.0019315436813061027,-215.25
0.5499999999999999,0.54975,10,4,two-2g,baseline2_matched_0.950,0.95,0.2965,0.3025,-0.049416666666666664,1.005168752284155,-0.0051687522841550315,-309.25
0.5499999999999999,0.54975,10,4,two-g,baseline2_all_hdv_yield,1.0,0.3727499999999999,0.37650000000000006,-0.062124999999999986,1.0041182490654683,-0.004118249065468316,-370.25
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.050,0.05,0.004249999999999976,0.0035000000000000586,-0.0007083333333333108,1.0006150972793642,-0.0006150972793641518,-27.0
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.200,0.2,0.03474999999999995,0.041000000000000036,-0.005791666666666639,1.0010029541256313,-0.001002954125631339,-47.0
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.350,0.35,0.0635,0.07050000000000001,-0.010583333333333389,1.0016224745764417,-0.0016224745764417126,-99.0
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.500,0.5,0.07850000000000001,0.08599999999999997,-0.013083333333333336,1.0012586687249165,-0.001258668724916534,-101.0
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.650,0.65,0.14525,0.14900000000000002,-0.024208333333333387,1.0035415780880528,-0.003541578088052777,-180.0
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.800,0.8,0.2217499999999999,0.21399999999999997,-0.036958333333333426,1.003092902634387,-0.003092902634387107,-243.5
0.5499999999999999,0.54975,10,4,two-g,baseline2_matched_0.950,0.95,0.29475000000000007,0.2985,-0.049125000000000085,1.0066187231741563,-0.006618723174156349,-308.0
0.5499999999999999,0.54975,10,5,one,baseline2_all_hdv_yield,1.0,0.3810000000000001,0.3810000000000001,-0.0635,1.002134433109036,-0.002134433109036049,-358.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.050,0.05,-0.0040000000000000036,-0.0040000000000000036,0.0006666666666667043,0.9994360832696776,0.0005639167303224113,12.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.200,0.2,0.029000000000000026,0.029000000000000026,-0.004833333333333245,1.0006023028348787,-0.0006023028348787207,-40.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.350,0.35,0.0685,0.0685,-0.01141666666666663,1.0007185657846693,-0.0007185657846693339,-46.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.500,0.5,0.10050000000000003,0.10050000000000003,-0.01674999999999993,1.0014396170005697,-0.001439617000569715,-87.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.650,0.65,0.18000000000000005,0.18000000000000005,-0.029999999999999916,1.0011758851311017,-0.0011758851311016727,-173.5
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.800,0.8,0.22499999999999998,0.22499999999999998,-0.03749999999999998,1.001290491126735,-0.0012904911267350716,-214.0
0.5499999999999999,0.54975,10,5,one,baseline2_matched_0.950,0.95,0.36249999999999993,0.36249999999999993,-0.06041666666666656,1.0018124316851595,-0.0018124316851595434,-337.0
0.5499999999999999,0.54975,10,5,two-2g,baseline2_all_hdv_yield,1.0,0.3752500000000001,0.3759999999999999,-0.0625416666666666,1.0024212907746317,-0.0024212907746317125,-390.25
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.050,0.05,-0.00024999999999997247,0.0020000000000000018,4.166666666671759e-05,1.000292710836796,-0.0002927108367960507,9.0
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.200,0.2,0.04349999999999998,0.03500000000000003,-0.007249999999999868,1.000816218225739,-0.0008162182257389627,-70.5
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.350,0.35,0.08924999999999994,0.08199999999999996,-0.014874999999999972,1.0021064676933176,-0.0021064676933175708,-137.0
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.500,0.5,0.10499999999999998,0.10099999999999998,-0.01749999999999985,1.0018858980542587,-0.00188589805425865,-178.5
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.650,0.65,0.15425,0.14249999999999996,-0.025708333333333222,1.001567481733212,-0.0015674817332120838,-216.0
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.800,0.8,0.2277499999999999,0.22950000000000004,-0.037958333333333316,1.0040238756960151,-0.0040238756960151445,-277.5
0.5499999999999999,0.54975,10,5,two-2g,baseline2_matched_0.950,0.95,0.32775,0.3294999999999999,-0.054624999999999924,1.0053141251635953,-0.005314125163595307,-352.0
0.5499999999999999,0.54975,10,5,two-g,baseline2_all_hdv_yield,1.0,0.3752500000000001,0.3759999999999999,-0.0625416666666666,1.0024212907746317,-0.0024212907746317125,-390.25
0.5499999999999999,0.54975,10,5,two-g,baseline2_matched_0.050,0.05,-0.003249999999999975,-0.0035000000000000586,0.0005416666666666625,0.9999831394135533,1.686058644667643e-05,-8.5
0.5499999999999999,0.54975,10,5,two-g,baseline2_matched_0.200,0.2,0.02949999999999997,0.02200000000000002,-0.004916666666666569,1.0000948062483659,-9.480624836588625e-05,-42.5
0.5499999999999999,0.54975,10,5,two-g,baseline2_matched_0.350,0.35,0.049000000000000044,0.04049999999999998,-0.008166666666666544,1.0000342739790005,-3.427397900046536e-05,-64.0
0.5499999999999999,0.54975,10,5,two-g,baseline2_matched_0.500,0.5,0.09350000000000003,0.09399999999999997,-0.015583333333333282,1.0009027323824138,-0.0009027323824137845,-127.5
0.5499999999999999,0.54975,10,5,two-g,baseline2_matched_0.650,0.65,0.131,0.124,-0.02183333333333326,1.0038270767198116,-0.0038270767198116395,-167.0
