requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.05,two-g,baseline2_matched_0.800,0.8,10,0.3888000000000001,0.33942437500000006,0.45450062500000016,0.38439999999999996,0.3266499999999999,0.4468012499999998,0.9928138398626414,0.0071861601373586215,True,True,True,True
0.05,two-g,baseline2_matched_0.950,0.95,10,0.5407250000000001,0.4917475,0.5961500000000001,0.563,0.5049999999999998,0.6234012500000001,0.9821556359345088,0.01784436406549117,True,True,True,True
0.1,one,baseline2_all_hdv_yield,1.0,10,0.87255,0.8548487499999999,0.89115125,0.87255,0.85444875,0.8913512499999998,1.0036289545324135,-0.0036289545324135197,True,True,True,True
0.1,one,baseline2_matched_0.050,0.05,10,0.02059999999999995,0.0039500000000001175,0.0384512499999999,0.02059999999999995,0.0034999999999999255,0.03840000000000003,1.0000821433021374,-8.214330213740517e-05,True,True,True,True
0.1,one,baseline2_matched_0.200,0.2,10,0.0878499999999999,0.06324999999999995,0.11414999999999989,0.0878499999999999,0.06359999999999992,0.11464999999999978,1.0004791263117407,-0.0004791263117407407,True,True,True,True
0.1,one,baseline2_matched_0.350,0.35,10,0.20815,0.18449749999999984,0.23164999999999997,0.20815,0.18494875000000002,0.2325,1.001207636971775,-0.0012076369717750612,True,True,True,True
0.1,one,baseline2_matched_0.500,0.5,10,0.2829999999999998,0.2697499999999999,0.2970499999999997,0.2829999999999998,0.26985000000000003,0.2966999999999998,1.0017682295728565,-0.0017682295728564945,True,True,True,True
0.1,one,baseline2_matched_0.650,0.65,10,0.3938,0.3635987499999998,0.4213512499999998,0.3938,0.36399875000000015,0.42110124999999987,1.0024619039716474,-0.002461903971647361,True,True,True,True
0.1,one,baseline2_matched_0.800,0.8,10,0.5483,0.5240499999999998,0.5735500000000002,0.5483,0.5238999999999999,0.5736000000000003,1.0033313099989547,-0.0033313099989547013,True,True,True,True
0.1,one,baseline2_matched_0.950,0.95,10,0.7767999999999999,0.7641999999999999,0.78935,0.7767999999999999,0.7645987499999998,0.7897,1.0039791449645095,-0.003979144964509462,True,True,True,True
