requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,5,left_if_safe,5.85,5.8845,-0.03450000000000042,0.9941371399439204,0.005750000000000033,0.007412249999998011,1.0105129220225104,0.024678749999996974,0.0
0.3,0.3,0,6,baseline1_hdv,5.874,2.4895,3.3844999999999996,2.3595099417553724,-0.5640833333333334,-0.026123374999999616,0.9643430358726258,-0.08425749999999432,-0.0445
0.3,0.3,0,6,baseline2_matched,5.874,3.553,2.3209999999999997,1.653250773993808,-0.38683333333333336,-0.02176875000000089,0.9701091928435062,-0.07062833333333307,-0.005
0.3,0.3,0,6,graph_noop,5.874,2.4975,3.3764999999999996,2.3519519519519516,-0.56275,-0.03181725000000013,0.9569061289805934,-0.10324374999999231,-0.0525
0.3,0.3,0,6,left_if_safe,5.874,5.71,0.1639999999999997,1.0287215411558668,-0.02733333333333332,-4.9875000002086445e-05,0.9999294112027399,-2.9583333325700067e-05,-0.002
0.3,0.3,0,7,baseline1_hdv,5.869,2.4365,3.4324999999999997,2.408783090498666,-0.5720833333333333,-0.03031637500000084,0.9587914823281372,-0.0981941666666688,-0.0305
0.3,0.3,0,7,baseline2_matched,5.869,3.7445,2.1245,1.567365469355054,-0.3540833333333333,-0.023917250000001333,0.9672044379197704,-0.07795375000000426,-0.001
0.3,0.3,0,7,graph_noop,5.869,2.533,3.336,2.317015396762732,-0.556,-0.03252725000000023,0.9559187517840063,-0.10564416666666965,-0.0495
0.3,0.3,0,7,left_if_safe,5.869,3.7015,2.1675,1.5855734161826287,-0.36124999999999996,0.09140124999999999,1.148870547712745,0.3064770833333341,-0.276
0.3,0.3,0,8,baseline1_hdv,5.8635,2.431,3.4325,2.411970382558618,-0.5720833333333334,-0.027793624999999933,0.9621243634701089,-0.089785,-0.032
0.3,0.3,0,8,baseline2_matched,5.8635,3.7025,2.161,1.5836596893990547,-0.36016666666666675,-0.020878749999997614,0.9712769142432868,-0.06779499999999672,-0.0255
0.3,0.3,0,8,graph_noop,5.8635,2.573,3.2905,2.2788573649436454,-0.5484166666666667,-0.03069774999999786,0.958331686103976,-0.09958375000000252,-0.0335
0.3,0.3,0,8,left_if_safe,5.8635,5.842,0.02150000000000052,1.0036802464909278,-0.003583333333333494,-0.0003388749999978513,0.9995202503546391,-0.0011116666666630692,0.0
0.3,0.3,0,9,baseline1_hdv,5.702,2.3915,3.3104999999999998,2.3842776500104534,-0.5517500000000001,-0.012663249999998683,0.9825351315278424,-0.03945208333332406,-0.137
0.3,0.3,0,9,baseline2_matched,5.702,3.637,2.065,1.567775639263129,-0.34416666666666673,-0.017094375000000217,0.976567030065757,-0.05526041666666215,-0.0045000000000000005
0.3,0.3,0,9,graph_noop,5.702,2.54,3.162,2.2448818897637794,-0.527,-0.021818125000000466,0.9702841330260245,-0.07009208333332984,-0.08549999999999999
0.3,0.3,0,9,left_if_safe,5.702,5.8805,-0.17849999999999966,0.9696454383130687,0.029749999999999943,0.006970624999999564,1.0098813003589264,0.023086666666668698,0.0
0.3,0.3,0,10,baseline1_hdv,5.863,2.402,3.4610000000000003,2.4408825978351376,-0.5768333333333333,-0.02290387500000368,0.9688073909890352,-0.0734620833333346,-0.053
0.3,0.3,0,10,baseline2_matched,5.863,3.6045,2.2585000000000006,1.6265778887501736,-0.37641666666666673,-0.015505124999999897,0.9786687509350834,-0.0498016666666623,-0.0225
0.3,0.3,0,10,graph_noop,5.863,2.526,3.3370000000000006,2.3210609659540777,-0.5561666666666667,-0.025550500000001475,0.9653279455869713,-0.08238749999999717,-0.049
0.3,0.3,0,10,left_if_safe,5.863,5.868,-0.004999999999999893,0.9991479209270621,0.0008333333333333526,0.005717249999998786,1.0081020886553205,0.019053333333329814,0.0
0.3,0.3,0,11,baseline1_hdv,5.8475,2.5595,3.2880000000000003,2.284625903496777,-0.548,-0.0224172499999995,0.969463265008316,-0.07198416666666585,-0.0205
0.3,0.3,0,11,baseline2_matched,5.8475,3.648,2.1995,1.6029331140350878,-0.36658333333333337,-0.017625874999999125,0.9758323292536,-0.05692000000000297,-0.0015
0.3,0.3,0,11,graph_noop,5.8475,2.462,3.3855,2.375101543460601,-0.5642499999999999,-0.012837874999999888,0.9822810566737737,-0.03997166666666585,-0.1595
0.3,0.3,0,11,left_if_safe,5.8475,5.857,-0.009500000000000064,0.9983780092197371,0.001583333333333381,0.005339625000000514,1.0075594525807476,0.017790833333336753,0.0
0.3,0.3,0,12,baseline1_hdv,5.8505,2.482,3.3685,2.3571716357775987,-0.5614166666666668,-0.027786499999997827,0.9621802388294162,-0.0898145833333377,-0.052
0.3,0.3,0,12,baseline2_matched,5.8505,3.598,2.2525000000000004,1.6260422456920514,-0.37541666666666673,-0.022542750000001055,0.9690968617743339,-0.07326541666666575,-0.0075
0.3,0.3,0,12,graph_noop,5.8505,2.5115,3.3390000000000004,2.3294843718893095,-0.5565000000000001,-0.01788875000000001,0.9753194195864231,-0.05684666666667715,-0.138
0.3,0.3,0,12,left_if_safe,5.8505,5.86,-0.009500000000000064,0.9983788395904437,0.00158333333333327,0.0010420000000008756,1.0014761715872398,0.0034654166666667763,-0.0005
0.3,0.3,0,13,baseline1_hdv,5.784,2.465,3.319,2.3464503042596347,-0.5531666666666666,-0.02758049999999812,0.962435505294927,-0.08916916666666985,-0.0345
0.3,0.3,0,13,baseline2_matched,5.784,3.6225,2.1614999999999998,1.596687370600414,-0.36024999999999996,-0.016423875000000865,0.9772856183394015,-0.052945000000003795,-0.0505
0.3,0.3,0,13,graph_noop,5.784,2.496,3.288,2.317307692307692,-0.548,-0.03130687500000073,0.9575755194036663,-0.10161625000000019,-0.0505
0.3,0.3,0,13,left_if_safe,5.784,5.5245,0.25950000000000006,1.046972576703774,-0.04325000000000001,-0.0021622500000001432,0.9969494172536923,-0.006991250000001781,0.0
0.3,0.3,0,14,baseline1_hdv,5.837,2.43,3.4069999999999996,2.402057613168724,-0.5678333333333333,-0.026989124999999503,0.9631589526374493,-0.08712458333333117,-0.0495
0.3,0.3,0,14,baseline2_matched,5.837,3.508,2.3289999999999997,1.6639110604332952,-0.38816666666666666,-0.012563249999999915,0.9825062656030881,-0.03993666666666629,-0.103
0.3,0.3,0,14,graph_noop,5.837,2.5615,3.2754999999999996,2.2787429240679287,-0.5459166666666667,-0.031586124999998466,0.9571527645893831,-0.1025574999999983,-0.0475
0.3,0.3,0,14,left_if_safe,5.837,3.0495,2.7874999999999996,1.9140842761108376,-0.46458333333333335,0.13950425000000133,1.2464349174390918,0.4673370833333379,-0.3915
0.3,0.3,0,15,baseline1_hdv,4.525,2.455,2.0700000000000003,1.8431771894093687,-0.3450000000000001,-0.011255249999998496,0.984167281510175,-0.03579250000000567,-0.04799999999999999
0.3,0.3,0,15,baseline2_matched,4.525,3.3125,1.2125000000000004,1.3660377358490567,-0.2020833333333334,-0.010787124999997566,0.9848157922657824,-0.034946666666671344,-0.02149999999999999
0.3,0.3,0,15,graph_noop,4.525,2.4725,2.0525,1.8301314459049545,-0.3420833333333334,-0.011359624999997764,0.9840228034189689,-0.036155000000005266,-0.0645
0.3,0.3,0,15,left_if_safe,4.525,4.749,-0.2239999999999993,0.952832175194778,0.03733333333333322,0.0025067500000024445,1.003595847794548,0.008169166666671668,0.048000000000000015
0.3,0.3,0,16,baseline1_hdv,5.8605,2.438,3.4225,2.4038146021328957,-0.5704166666666666,-0.021742500000000664,0.9703292339436012,-0.06962291666666509,-0.045
0.3,0.3,0,16,baseline2_matched,5.8605,3.6455,2.215,1.607598408997394,-0.36916666666666664,-0.017669625000000466,0.9757524889991045,-0.05705291666665957,-0.0035
0.3,0.3,0,16,graph_noop,5.8605,2.5575,3.303,2.2914956011730205,-0.5505,-0.02494274999999957,0.9661100371641147,-0.08039000000000263,-0.0405
0.3,0.3,0,16,left_if_safe,5.8605,5.8145,0.04600000000000026,1.007911256341904,-0.0076666666666667105,0.003888375000000055,1.0054985700748187,0.012999583333332065,0.0
0.3,0.3,0,17,baseline1_hdv,4.738,2.3635,2.3745000000000003,2.004654114660461,-0.39575000000000005,-0.010653624999999889,0.9850506963268449,-0.03353333333333541,-0.123
0.3,0.3,0,17,baseline2_matched,4.738,3.2585,1.4795000000000003,1.454043271443916,-0.24658333333333338,-0.01178962500000047,0.9834829754705972,-0.0380658333333348,-0.09
0.3,0.3,0,17,graph_noop,4.738,2.416,2.3220000000000005,1.9610927152317883,-0.387,-0.010423125000000533,0.9853694047645359,-0.03280874999999739,-0.1315
0.3,0.3,0,17,left_if_safe,4.738,5.141,-0.4029999999999996,0.9216105815989108,0.0671666666666666,0.002351500000001061,1.0033609896159872,0.00750250000000019,0.052500000000000005
0.3,0.3,0,18,baseline1_hdv,5.783,2.4555,3.3275000000000006,2.3551211565872534,-0.5545833333333335,-0.024852750000000756,0.96621668004483,-0.08006958333332648,-0.038
0.3,0.3,0,18,baseline2_matched,5.783,3.6445,2.1385000000000005,1.586774591850734,-0.3564166666666668,-0.017490625000000537,0.9759839624187837,-0.056519999999994575,-0.002
0.3,0.3,0,18,graph_noop,5.783,2.4825,3.3005000000000004,2.3295065458207453,-0.5500833333333334,-0.016962375000000418,0.9766923865299889,-0.0537908333333319,-0.128
0.3,0.3,0,18,left_if_safe,5.783,5.716,0.06700000000000017,1.0117214835549335,-0.011166666666666769,0.004785249999999297,1.0067778448995655,0.016006666666672498,0.0005
0.3,0.3,0,19,baseline1_hdv,5.847,2.493,3.3540000000000005,2.345367027677497,-0.559,-0.02171987500000161,0.9704307996578126,-0.06960458333333097,-0.0285
0.3,0.3,0,19,baseline2_matched,5.847,3.6075,2.2395000000000005,1.620790020790021,-0.3732500000000001,-0.014606250000000487,0.9799207552889084,-0.046821249999994485,-0.007
0.3,0.3,0,19,graph_noop,5.847,2.4705,3.3765000000000005,2.366727383120826,-0.56275,-0.024338000000001636,0.9669841907206264,-0.07831291666666029,-0.0655
0.3,0.3,0,19,left_if_safe,5.847,5.869,-0.021999999999999353,0.9962514908843075,0.003666666666666596,0.006597874999997977,1.0093424397178707,0.021974583333332465,0.0
