requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,5,0,baseline1_hdv,3.5595,2.536,1.0234999999999999,1.4035883280757098,-0.1705833333333332,-0.01372024999999688,0.9813029730218238,-0.044881249999999095,-0.0049999999999999975
0.3,0.3,5,0,baseline2_matched,3.5595,3.323,0.23649999999999993,1.0711706289497442,-0.039416666666666655,-0.010331249999996794,0.9858559511192667,-0.034240416666659,0.015000000000000001
0.3,0.3,5,1,baseline1_hdv,3.665,2.4095,1.2555,1.5210624610915129,-0.20924999999999994,-3.787500000107524e-05,0.9999475458195042,0.0009199999999967012,-0.13799999999999998
0.3,0.3,5,1,baseline2_matched,3.665,3.259,0.40600000000000014,1.1245780914390917,-0.06766666666666665,-0.007963249999998201,0.9890912011271502,-0.026205833333334816,-0.004
0.3,0.3,5,2,baseline1_hdv,3.4055,2.448,0.9575,1.3911356209150327,-0.1595833333333334,-0.013052499999997802,0.9822340064799457,-0.042710416666666084,-0.016
0.3,0.3,5,2,baseline2_matched,3.4055,3.247,0.15850000000000009,1.0488142901139514,-0.026416666666666644,-0.009698249999999464,0.9867389932156693,-0.03219541666666803,0.011999999999999999
0.3,0.3,5,3,baseline1_hdv,3.4965,2.4655,1.0310000000000001,1.4181707564388564,-0.1718333333333334,-0.018777874999999944,0.9744426344554793,-0.061733749999999254,0.016
0.3,0.3,5,3,baseline2_matched,3.4965,3.244,0.25249999999999995,1.0778360049321825,-0.04208333333333325,-0.013840750000000068,0.9810348011040052,-0.045925416666671826,0.041
0.3,0.3,5,4,baseline1_hdv,3.497,2.452,1.045,1.4261827079934748,-0.17416666666666658,-0.0127035000000012,0.9827216569582089,-0.0414741666666667,-0.014000000000000002
0.3,0.3,5,4,baseline2_matched,3.497,3.2115,0.28549999999999986,1.0888992682547096,-0.04758333333333331,-0.007754749999999921,0.9893810987048769,-0.02561124999999631,0.0135
0.3,0.3,5,5,baseline1_hdv,3.705,2.415,1.29,1.5341614906832297,-0.21499999999999997,-0.011471250000000044,0.9843815470454624,-0.037162500000003984,-0.033499999999999995
0.3,0.3,5,5,baseline2_matched,3.705,3.223,0.4820000000000002,1.1495501085944773,-0.08033333333333337,-0.0030181250000003157,0.9958428867738025,-0.009658750000006933,-0.0245
0.3,0.3,5,6,baseline1_hdv,3.3645,2.483,0.8815,1.3550140958517922,-0.1469166666666667,-0.01744300000000043,0.9762879606480465,-0.057408749999998676,0.031
0.3,0.3,5,6,baseline2_matched,3.3645,3.157,0.20750000000000002,1.0657269559708584,-0.0345833333333333,-0.01218000000000019,0.9833231756000804,-0.04042708333332978,0.0525
0.3,0.3,5,7,baseline1_hdv,3.3925,2.422,0.9704999999999999,1.4007018992568125,-0.16175000000000006,-0.017891749999999873,0.9756425827159916,-0.05883041666665623,0.0445
0.3,0.3,5,7,baseline2_matched,3.3925,3.289,0.10349999999999993,1.0314685314685315,-0.017249999999999988,-0.014529500000000084,0.9801289168912583,-0.04834541666666059,0.07100000000000001
0.3,0.3,5,8,baseline1_hdv,3.3585,2.444,0.9144999999999999,1.3741816693944353,-0.15241666666666664,-0.008382000000001555,0.9885174208787502,-0.027177916666661694,-0.026500000000000003
0.3,0.3,5,8,baseline2_matched,3.3585,3.219,0.13949999999999996,1.043336439888164,-0.023249999999999993,-0.008731875000001055,0.9880438544333486,-0.02899000000000207,0.034
0.3,0.3,5,9,baseline1_hdv,3.44,2.4505,0.9895,1.4037951438481944,-0.1649166666666667,-0.015455250000001475,0.9789509703779347,-0.050692916666668975,0.031
0.3,0.3,5,9,baseline2_matched,3.44,3.175,0.2650000000000001,1.0834645669291338,-0.04416666666666669,-0.01199662500000287,0.9835840632355536,-0.03976791666667001,0.053500000000000006
0.3,0.3,5,10,baseline1_hdv,3.3285,2.459,0.8694999999999999,1.3535990239934932,-0.1449166666666667,-0.0202798750000025,0.9724358880697119,-0.06687500000000535,0.067
0.3,0.3,5,10,baseline2_matched,3.3285,3.248,0.0804999999999998,1.0247844827586206,-0.013416666666666632,-0.016279500000002334,0.9777521727061103,-0.054197916666669066,0.09899999999999999
0.3,0.3,5,11,baseline1_hdv,3.404,2.361,1.0429999999999997,1.4417619652689537,-0.1738333333333334,0.00030100000000066185,1.0004166087082302,0.0018724999999983893,-0.14150000000000001
0.3,0.3,5,11,baseline2_matched,3.404,3.166,0.238,1.0751737207833227,-0.03966666666666674,-0.006868999999998904,0.9905861618360631,-0.022698333333333487,0.011999999999999999
0.3,0.3,5,12,baseline1_hdv,3.698,2.4755,1.2225000000000001,1.4938396283579076,-0.20375,-0.009715625000001116,0.9867428364411396,-0.0313666666666621,-0.0345
0.3,0.3,5,12,baseline2_matched,3.698,3.145,0.5529999999999999,1.1758346581875994,-0.09216666666666662,-0.00896962500000098,0.9877482968806011,-0.029437916666664954,0.0085
0.3,0.3,5,13,baseline1_hdv,3.4265,2.497,0.9295,1.3722466960352424,-0.1549166666666667,-0.009827749999998026,0.986608667422574,-0.03198458333332832,-0.024499999999999997
0.3,0.3,5,13,baseline2_matched,3.4265,3.256,0.1705000000000001,1.052364864864865,-0.028416666666666646,-0.007055374999997199,0.9903498621628739,-0.02337583333333093,0.0045000000000000005
0.3,0.3,5,14,baseline1_hdv,3.381,2.4455,0.9354999999999998,1.382539358004498,-0.1559166666666666,-0.007898624999998938,0.9890771620223574,-0.025549166666670953,-0.011499999999999996
0.3,0.3,5,14,baseline2_matched,3.381,3.3325,0.048499999999999766,1.0145536384096023,-0.008083333333333331,-0.014997874999999605,0.9794613981340439,-0.049952500000006506,0.1
0.3,0.3,5,15,baseline1_hdv,3.364,2.5045,0.8594999999999997,1.3431822719105608,-0.14324999999999988,-0.011632749999999858,0.9841597647266684,-0.03805958333334081,-0.0325
0.3,0.3,5,15,baseline2_matched,3.364,3.269,0.09499999999999975,1.0290608748852859,-0.015833333333333255,-0.00725437499999837,0.9900625204194808,-0.02410208333333852,0.0015000000000000005
0.3,0.3,5,16,baseline1_hdv,3.445,2.4945,0.9504999999999999,1.3810382842252955,-0.15841666666666654,-0.01439899999999994,0.9804414494843282,-0.047204583333328554,0.005499999999999998
0.3,0.3,5,16,baseline2_matched,3.445,3.278,0.16699999999999982,1.0509456985967052,-0.027833333333333266,-0.007007250000001131,0.9903853278229642,-0.02321833333333645,0.026999999999999996
0.3,0.3,5,17,baseline1_hdv,3.4155,2.415,1.0005000000000002,1.4142857142857144,-0.16674999999999995,-0.01384825000000034,0.9811446988548718,-0.0453270833333308,-0.002999999999999999
0.3,0.3,5,17,baseline2_matched,3.4155,3.2605,0.15500000000000025,1.047538721055053,-0.025833333333333375,-0.008357374999999667,0.98853517230594,-0.027728750000001856,0.0225
0.3,0.3,5,18,baseline1_hdv,3.2055,2.3745,0.831,1.3499684144030322,-0.13849999999999996,-0.02470462499999937,0.9663456135224445,-0.08165625000000487,0.10049999999999999
0.3,0.3,5,18,baseline2_matched,3.2055,3.32,-0.11450000000000005,0.965512048192771,0.01908333333333334,-0.021843749999999162,0.9701264739956736,-0.0729079166666673,0.13599999999999998
